,Brent
1/03/93,18.78181818
1/06/93,18.87672131
1/09/93,17.26571429
1/12/93,15.5020339
1/03/94,13.74370968
1/06/94,16.03688525
1/09/94,17.018125
1/12/94,16.63238095
1/03/95,16.8296875
1/06/95,17.96639344
1/09/95,16.21539683
1/12/95,16.83354839
1/03/96,17.8828125
1/06/96,19.05114754
1/09/96,20.73753846
1/12/96,23.52265625
1/03/97,21.27688525
1/06/97,18.47301587
1/09/97,18.61092308
1/12/97,19.023125
1/03/98,14.6768254
1/06/98,13.96754098
1/09/98,13.00169231
1/12/98,11.75421875
1/03/99,11.5631746
1/06/99,15.84770492
1/09/99,20.68984615
1/12/99,23.86507937
1/03/00,26.55140625
1/06/00,27.02065574
1/09/00,30.40453125
1/12/00,30.10047619
1/03/01,26.2659375
1/06/01,27.6542623
1/09/01,25.68875
1/12/01,19.97859375
1/03/02,21.42145161
1/06/02,25.46459016
1/09/02,26.74169231
1/12/02,26.38078125
1/03/03,30.6631746
1/06/03,25.85622951
1/09/03,28.16923077
1/12/03,29.1315625
1/03/04,31.3065625
1/06/04,35.20540984
1/09/04,40.74338462
1/12/04,44.7378125
1/03/05,47.96147541
1/06/05,52.8621875
1/09/05,61.90876923
1/12/05,57.7609375
1/03/06,62.71109375
1/06/06,70.3615873
1/09/06,70.81734375
1/12/06,60.59278689
1/03/07,58.71
1/06/07,68.65403226
1/09/07,74.60126984
1/12/07,88.45079365
1/03/08,96.37133333
1/06/08,122.7209677
1/09/08,117.4504762
1/12/08,57.53935484
1/03/09,45.6815
1/06/09,59.90491803
1/09/09,68.85888889
1/12/09,75.50419355
1/03/10,77.37516667
1/06/10,79.39409836
1/09/10,76.96460317
1/12/10,87.50444444
1/03/11,105.5365574
1/06/11,117.0437705
1/09/11,112.0314286
1/12/11,109.0511475
1/03/12,118.4490625
1/06/12,108.763125
1/09/12,109.4184615
1/12/12,110.1306154
1/03/13,112.6354839
1/06/13,103.3466154
1/09/13,109.6522727
1/12/13,109.3515385
1/03/14,107.8714286
1/06/14,109.7571875
1/09/14,103.4562121
1/12/14,77.07046154
1/03/15,55.13444444
1/06/15,63.50296875
1/09/15,51.29954545
1/12/15,44.69092308
1/03/16,35.20571429
1/06/16,47.02707692
1/09/16,47.01863636
1/12/16,51.1015625
1/03/17,54.63138462
1/06/17,50.8128125
1/09/17,52.16523077
1/12/17,61.434375
1/03/18,67.19539683
1/06/18,74.95707692
1/09/18,75.84123077
1/12/18,68.61815385
1/03/19,63.8084127
1/06/19,68.38875
1/09/19,62.00545455
1/12/19,62.35030769
1/03/20,50.83765625
1/06/20,33.44734375
1/09/20,43.38
1/12/20,45.27646154
1/03/21,61.26761905
1/06/21,68.96571429