NZ_r,HH_r,NBP_r,B_r
0.013838094,0.184945083,-0.048959433,0.315199245
-0.114768759,0.162227766,0.023553772,0.266618366
0.027616477,-0.122279516,0.117813739,0.14277322
-0.021590233,0.171776644,0.293295197,0.106666436
-0.107882326,0.335125208,0.148657063,0.017518889
-0.154020572,0.200823858,-0.007031965,0.117990051
0.076894449,0.442669264,0.245281464,-0.01005066
-0.034756676,-0.343045364,-0.003118207,-0.136268044
-0.013089083,-0.374750163,-0.144074109,0.05150692
0.003225528,-0.368935434,-0.043328359,-0.073726715
0.114692372,-0.090596895,0.157761398,-0.251391765
0.032741672,0.232296933,-0.252837969,0.069731444
0.044225457,0.104790877,-0.213923179,0.172896034
0.048499753,0.099497206,0.120668334,0.048934991
0.086548985,0.277181451,0.30333846,-0.013588095
0.107503767,0.28521598,-0.046262323,0.150426648
0.044358636,-0.126151285,-0.036447854,-0.170510851
0.034863683,-0.156955731,-0.012658903,0.085678716
0.227729365,0.161746159,0.431838826,0.033591934
0.099296688,-0.016260521,0.000819542,0.072005532
-0.184245729,0.117850496,-0.095553432,0.117372019
0.03302801,-0.091485877,0.129833426,0.146093726
0.157529977,0.111256759,0.225864501,0.093525575
0.002565259,0.069486577,0.132075608,0.069579032
-0.08154583,0.049119166,-0.072584584,0.097290198
-0.043995731,0.488972023,0.077665348,0.157973546
0.258068087,-0.079754565,0.446362982,-0.069349112
-0.066583152,-0.394754878,-0.07880559,0.08222564
-0.017728798,-0.14745706,-0.23571396,0.115109114
0.073492268,-0.040531287,0.003948908,0.00645646
0.138973211,0.145408594,0.09225956,-0.155928081
0.068604052,0.093154864,-0.551099372,-0.031565788
0.089706219,-0.068332588,-0.02717415,0.156469797
-0.003349622,-0.107930739,0.230102581,0.083077662
-0.013714599,0.153550259,0.403586465,0.170288864
0.005086168,0.236744334,0.245004942,0.085762392
-0.016983091,0.219938991,0.081452608,0.241704438
-0.046449713,-0.435733149,-0.022375722,-0.043896457
-0.141055132,-0.245220488,-0.192325206,-0.71354762
0.12001943,-0.392583384,-0.580004095,-0.230775744
0.198317366,-0.084434642,-0.178909616,0.271065204
0.098934642,-0.082315953,-0.060569052,0.139300716
0.019926693,0.38083824,0.171128598,0.092128876
0.016308431,-0.084319585,0.087838285,0.024477687
-0.121867788,-0.005145179,0.016718894,0.025758152
0.18918699,-0.153414031,0.120672229,-0.03107842
0.068041565,0.067273181,0.147675596,0.128343969
-0.041262728,-0.012121361,0.201314996,0.187367823
0.056965129,0.075906586,0.022634948,0.103490563
0.010066545,-0.140553514,-0.015858977,-0.043768527
-0.195635173,-0.238878141,0.002350512,-0.026962429
0.103143769,-0.314469389,-0.023163729,0.082666001
-0.019160556,0.16763403,-0.014329243,-0.085310663
0.029651499,0.139096237,0.015991698,0.006007276
-0.062130637,0.125032561,0.109935258,0.006487446
0.112451776,0.102319658,0.022266962,0.022489724
-0.039601491,0.015789802,-0.030341292,-0.086068262
0.033312496,-0.068433535,0.010223139,0.059225665
0.031596768,0.159859291,0.086954505,-0.002746385
-0.019136764,0.211800671,-0.171447637,-0.013627775
-0.03959497,-0.162972684,-0.166265781,0.017330498
0.04269529,-0.129864039,-0.013931328,-0.059122088
-0.087450685,-0.091956636,0.067732305,-0.294428363
-0.141481029,-0.242450551,-0.195969674,-0.334945442
-0.03286441,0.0190709,-0.043369388,0.14131201
-0.070275921,-0.086260344,-0.02225627,-0.213404765
-0.103933147,-0.209720531,-0.076880509,-0.137911474
0.052244636,-0.110665568,-0.265170806,-0.238562011
0.030237307,0.26209145,0.010169261,0.289515133
0.023336333,0.181639196,-0.029313301,-0.000179499
-0.095324844,0.071341269,0.159138577,0.083271033
0.19705438,-0.066800966,0.086293077,0.066793453
-0.156186935,0.031217697,-0.103786873,-0.07245999
0.121880968,-0.039176806,0.093539756,0.026267658
0.011408266,0.10192998,0.166050269,0.163553336
-0.016247403,-0.172881716,0.099568783,0.089635214
-0.034455555,0.052518034,0.021972738,0.109310896
0.049258629,0.071779682,0.069693092,0.011726444
0.067677272,0.195936959,0.025269105,-0.100084953
-0.077537513,-0.304428876,-0.387342983,-0.072672091
0.021174842,-0.11221953,-0.264253044,0.069323295
-0.081596121,-0.041328195,-0.006834559,-0.09798598
0.072884666,-0.031431159,0.15351661,0.005546249
-0.089316215,-0.236292024,-0.480711913,-0.204131262
-0.035957769,-0.054782346,-0.358634923,-0.418664971
0.089148882,0.249586939,0.346933665,0.260026132
0.094587495,0.179544128,0.454927504,0.042788779
0.100574008,0.29555241,0.336323972,0.302464181
0.195692799,-0.060095599,0.218696522,0.118358021